elapsed_band_index,elapsed_band,events,exposure_days,rate_per_100_entity_years,rate_ci_low,rate_ci_high,bootstrap_ci_low,bootstrap_ci_high
0,0-90,6,61071.0,3.588446234710419,1.3168965238616253,7.810536730567618,1.1990227258465016,6.477504033712979
1,91-180,15,55572.0,9.858831785791406,5.517913310658436,16.260643746509402,3.665880505911197,15.779829131403636
2,181-365,12,102210.0,4.288230114470209,2.215791075688083,7.4906750208850745,1.8054877505551934,7.160470193492628
3,366-730,20,160500.0,4.5514018691588785,2.780114503781178,7.029271046075949,2.4474853747788714,6.7297411771853035
4,731-1460,24,177731.0,4.932172777962201,3.160136163738589,7.338682135428463,3.1192119467937656,6.9894922361518805
5,>1460,15,110407.0,4.962321229632179,2.7773735225113496,8.184594222114725,2.5717479539320656,8.270822594975405
