time_days,survival,nelson_aalen,events,at_risk
0.0,1.0,0.0,0,696
15.0,0.9985590778097982,0.001440922190201729,1,694
23.0,0.9971118907405087,0.00289019755252057,1,690
31.0,0.9956583748647936,0.0043479235000424355,1,686
59.0,0.9941767403783877,0.0058360187381376735,1,672
86.0,0.9926658334781165,0.007355775577043449,1,658
90.0,0.9911549265778454,0.00887784559226415,1,657
91.0,0.9881192300186483,0.011940632728558177,2,653
111.0,0.9865680224362015,0.013510491441274032,1,637
122.0,0.9850020414482075,0.01509779302857562,1,630
123.0,0.9834360604602135,0.016687618147812503,1,629
130.0,0.9818447399740319,0.018305741125158783,1,618
132.0,0.9802534194878503,0.01992648666810854,1,617
136.0,0.978659511488683,0.02155250292827114,1,615
146.0,0.9770603946398453,0.023186489856375718,1,612
153.0,0.9738410852670616,0.026481382772355948,2,607
156.0,0.9722287655894671,0.028137011911428797,1,604
169.0,0.9705920168258485,0.02982051359493048,1,594
175.0,0.9689469456108895,0.03151542884916777,1,590
178.0,0.967296269383273,0.0332190063619446,1,587
184.0,0.9656455931556565,0.034925491003582824,1,586
185.0,0.96399491692804,0.036634892712984535,1,585
212.0,0.9623213146417066,0.03837100382409565,1,576
226.0,0.9606240989192345,0.040134672254430744,1,567
229.0,0.9589238792751297,0.04190458375885552,1,565
254.0,0.9572115152049955,0.04369029804456981,1,560
291.0,0.9554711306318955,0.045508479862751625,1,550
306.0,0.9537017396492438,0.04736033171460348,1,540
320.0,0.9519257587560421,0.04922252910752713,1,537
335.0,0.950146458272386,0.0510916879860318,1,535
337.0,0.9483671577887298,0.05296434716206176,1,534
348.0,0.9465675996145576,0.05486188036889288,1,527
366.0,0.9447437699428533,0.05678866264249596,1,519
380.0,0.9429164125541823,0.05872289861928513,1,517
391.0,0.9410855068987374,0.060664646192100664,1,515
395.0,0.9392546012432924,0.06261017148392946,1,514
396.0,0.9374236955878473,0.06455948922272088,1,513
401.0,0.9355637279378715,0.06654361620684787,1,504
435.0,0.9336621756453147,0.06857613653205112,1,492
438.0,0.931760623352758,0.07061279640985153,1,491
517.0,0.9276649722610976,0.07500840080545593,2,455
519.0,0.9256171467152673,0.07721590632421972,1,453
526.0,0.9235510370127779,0.07944804918136258,1,448
550.0,0.9214424730013332,0.08173115420419363,1,438
569.0,0.9192692596216131,0.08408964477023137,1,424
608.0,0.9170325947563537,0.08652273479456227,1,411
638.0,0.9147457304302781,0.08901650038059718,1,401
663.0,0.9124062272833975,0.09157404513763043,1,391
693.0,0.9099600979877316,0.09425501028508351,1,373
707.0,0.9074806426798631,0.09697980592541049,1,367
730.0,0.9049668458857361,0.09974988902790356,1,361
761.0,0.9023738176740291,0.10261521854079754,1,349
820.0,0.8995714145135508,0.10572080860290935,1,322
830.0,0.8966973844352327,0.10891569678182308,1,313
844.0,0.8937954511522709,0.11215194273651564,1,309
852.0,0.8908649742632471,0.11543063126110581,1,305
865.0,0.8878654288953574,0.11879763462810917,1,297
897.0,0.8848143449472634,0.12223406074494766,1,291
911.0,0.8817313681356005,0.12571838130243895,1,287
938.0,0.8785710406512435,0.12930261069311996,1,279
1023.0,0.8750707576207605,0.13328667443813988,1,251
1034.0,0.8715564172287091,0.137302738695168,1,249
1036.0,0.8680135049635518,0.14136777934557448,1,246
1045.0,0.8644414329266648,0.14548300568302305,1,243
1064.0,0.8608693608897777,0.14961523708798175,1,242
1085.0,0.8572216093605838,0.15385252522357495,1,236
1096.0,0.8535582691496412,0.15812602949707924,1,234
1138.0,0.8498471462402949,0.16247385558403576,1,230
1186.0,0.8459665656638552,0.16704006562969786,1,219
1187.0,0.8420859850874155,0.17162722159300062,1,218
1217.0,0.8381325297583666,0.1763220572737518,1,213
1238.0,0.8340440783936917,0.1812001060542396,1,205
1278.0,0.8298529021203565,0.1862252316823803,1,199
1369.0,0.8252426082196879,0.19178078723793587,1,180
1383.0,0.8205537297638942,0.19746260541975405,1,176
1492.0,0.8154252689528698,0.20371260541975406,1,160
1551.0,0.8098016464083673,0.210609157143892,1,145
1628.0,0.8038031156942312,0.21801656455129942,1,135
1709.0,0.7974739573029381,0.2258905802993309,1,127
1735.0,0.7909372855217665,0.23408730161080632,1,122
1787.0,0.7841771377822642,0.24263431015781486,1,117
1827.0,0.7772983909596127,0.25140623998237627,1,114
2043.0,0.7682600375763614,0.2630341469591205,1,86
2089.0,0.7591140847480714,0.2749389088638824,1,84
2151.0,0.7487152616693307,0.2886375390008687,1,73
2172.0,0.7377047431153699,0.3033434213538099,1,68
2191.0,0.7266942245614092,0.3182687944881382,1,67
2769.0,0.635857446491233,0.4432687944881382,2,16
2955.0,0.5722717018421097,0.5432687944881383,1,10
