term,estimate,std_error,rate_ratio,ci_low,ci_high
intercept,-10.191318424897087,0.5611644608232774,3.749442041853672e-05,1.2482276895542472e-05,0.00011262621189119895
elapsed:91-180,1.071679430698317,0.48326870315233034,2.920279791504746,1.1325511835254591,7.529932584701854
elapsed:181-365,0.2174497344636419,0.5082127536126085,1.2429029527539692,0.45902653386068,3.3653996795605785
elapsed:366-730,0.5763355194468546,0.47023870777241095,1.7795055048539399,0.7079850171094915,4.472749797353053
elapsed:731-1460,0.8411428064600386,0.46914056136425064,2.319015649097629,0.9246197622548094,5.816265020817993
elapsed:>1460,1.2673930699603595,0.5119907301308697,3.551581758263255,1.3019865831120854,9.688066796723987
calendar:2012-2018,-11.918019952164846,200.385523608079,6.669137930679755e-06,1.788415697883408e-176,2.486972172692832e+165
calendar:2019-2021,0.31087875677252386,0.31546046502502895,1.364623759766901,0.7353389315651592,2.5324349436479436
calendar:2022-2023,0.09038906164275558,0.2659723766604398,1.094600067772243,0.6499129834875239,1.843553427625899
event_number:2,0.890187137857524,0.29449714364118945,2.4355853988780938,1.3674842478675147,4.3379484951865255
event_number:3+,1.4396321540342283,0.31974507879187475,4.219143536585068,2.254508072754799,7.895812127457224
org_size_score,0.5951205282081727,0.18682140971316313,1.813249479500838,1.2572798840566801,2.615069020512411
org_size_unknown,0.5616025447345128,0.40833176993816833,1.753480280489089,0.7876293054658656,3.9037312003588793
sector_proxy:education,1.269794967786024,0.4244598953890375,3.5601225477118357,1.5493780197599063,8.180361663250048
sector_proxy:finance,0.9397118640122621,0.43251264476164236,2.559243901812338,1.0963506574451891,5.974119050766463
sector_proxy:health,-0.30588407492527625,0.6158770110678509,0.7364719900781884,0.22024757672318643,2.4626422693922305
sector_proxy:sparse_or_no_repeat,-2.4805340477944084,0.7828330321762391,0.08369851464722522,0.01804499729374731,0.388220692977283
sector_proxy:technology,-0.44687477140271026,0.4612210760156292,0.6396240024762769,0.2590153169072099,1.5795161051820565
sector_proxy:telecom_transport,0.7419569486752634,0.5512658267929009,2.1000411686898937,0.7128216202552107,6.1869236073583815
entity_kind_group:government_body,1.038939095353584,0.4014302239808517,2.8262170764807015,1.2867708414016805,6.207401276431109
entity_kind_group:sparse_or_no_repeat,-1.0869096807060186,1.0587727531884643,0.3372571171253351,0.04233655943558755,2.6866227338275794
prior_records_band:100k+,0.18851464025339207,0.33353664524354887,1.2074547603008647,0.627998698841852,2.321576463234634
prior_records_band:10k-100k,0.2746680046070222,0.30022519270626485,1.3160936652954478,0.7306846021852272,2.3705200994391853
prior_records_band:1k-10k,-0.27651210264454806,0.3716422750870766,0.75842444013471,0.3660699067335054,1.571305427770092
prior_records_band:sparse_or_no_repeat,-1.8038472495702935,1.0267266896790934,0.16466416389924102,0.022010590362392272,1.231874585198047
