comparison,missing_terms,log_rate_ratio,std_error,rate_ratio,ci_low,ci_high,z,p_two_sided,directional_alternative,p_directional
91-180 vs 0-90,,1.0676959748963535,0.48325711474414523,2.9086701246750333,1.1280743116156562,7.499826746395752,2.209374559258445,0.027148599064752532,greater,0.013574299532376266
91-180 vs post-180,,0.4232568290294759,0.2912972598053713,1.526926404638441,0.8627021332100306,2.702559962969809,1.4530065587032048,0.14622193299298955,greater,0.07311096649649478
post-180 vs 0-90,,0.6444391458668776,0.4309323260707879,1.9049183482839658,0.8185766716174561,4.4329554450395,1.4954532460881516,0.13479619314477118,,
