comparison,missing_terms,log_rate_ratio,std_error,rate_ratio,ci_low,ci_high,z,p_two_sided,directional_alternative,p_directional
response vs immediate,,0.6166199595528715,0.4533401717383658,1.8526553967455845,0.761910048345438,4.504904517986321,1.3601705694608919,0.17377595352016173,less,0.9131120232399191
long-term vs response,,0.17947102408889448,0.24815852586540357,1.1965842314468271,0.7357096858754819,1.9461668786423003,0.7232111951947849,0.46955014184825017,greater,0.23477507092412508
long-term vs immediate,,0.796090983641766,0.4378611215168741,2.216858234050632,0.9397731012245844,5.229411677642434,1.8181358072712253,0.06904337834425614,,
