term,estimate,std_error,rate_ratio,ci_low,ci_high
intercept,-10.200349378817457,0.5611793654693956,3.715733443048403e-05,1.2369696152276954e-05,0.000111616929387929
elapsed:91-365,0.6219542013520751,0.4534592030652745,1.8625643133852936,0.7658064352612214,4.530055718731434
elapsed:366-730,0.5805337106624449,0.4702803941449477,1.786991912923269,0.7109054342719202,4.491933726914961
elapsed:731-1460,0.847610500157297,0.46920201777073833,2.3340629401763326,0.9305072097526724,5.854709938413716
elapsed:>1460,1.276201742170314,0.5121398104284545,3.583004671688628,1.313122270164891,9.776639060222816
calendar:2012-2018,-14.090573813361456,595.4814010106423,7.595240777082111e-07,0.0,inf
calendar:2019-2021,0.3163607313720677,0.31523944826339223,1.3721251349440056,0.7397014743449792,2.5452529854862043
calendar:2022-2023,0.09569868571804888,0.2660977620514441,1.1004274395311129,0.6532124043747044,1.8538235672854202
event_number:2,0.898858991289798,0.2945884987566065,2.456798283054428,1.379147471133495,4.376513701365401
event_number:3+,1.458875250698853,0.31973137224676573,4.3011191260047905,2.2983736430474395,8.049007084659808
org_size_score,0.593038549310387,0.1868634818638887,1.8094782595105545,1.25456151972057,2.6098453684205256
org_size_unknown,0.5701963993682998,0.4086075345987528,1.7686143720712826,0.793997974738641,3.9395526142579076
sector_proxy:education,1.273831625669163,0.42425663090741916,3.5745225889253596,1.556264858927657,8.210178148944252
sector_proxy:finance,0.9393030900505994,0.4325000402727112,2.5581979633345053,1.095929663815948,5.971529958247286
sector_proxy:health,-0.30752938709145805,0.616044274324927,0.7352612600404169,0.21981342408921287,2.4593999331761083
sector_proxy:sparse_or_no_repeat,-2.479879465384355,0.7827643565136647,0.08375332015806568,0.018059243786602043,0.38842261173214354
sector_proxy:technology,-0.44590462963026806,0.461737335509273,0.6402448295361757,0.25900450924327945,1.5826498270066045
sector_proxy:telecom_transport,0.724196557261966,0.5521336144499701,2.0630728729926373,0.699083332539082,6.088358112929475
entity_kind_group:government_body,1.038808333181813,0.40154388828149845,2.825847538359215,1.286315991442158,6.207972506893861
entity_kind_group:sparse_or_no_repeat,-1.0995441735722944,1.05854867567525,0.3330228497219026,0.04182338785354911,2.6517272781737518
prior_records_band:100k+,0.19350241768479473,0.33431326504185493,1.2134923203898849,0.630178868400753,2.3367391156454516
prior_records_band:10k-100k,0.2737707598929403,0.3005702462657153,1.3149133368119563,0.7295357377901903,2.369996415203996
prior_records_band:1k-10k,-0.2822735902048335,0.37173377806496427,0.7540673508679588,0.36390159357685087,1.5625586138713552
prior_records_band:sparse_or_no_repeat,-1.8067142180480358,1.0269753930035426,0.16419275301489794,0.021936881139154048,1.228946812064958
