term,estimate,std_error,rate_ratio,ci_low,ci_high
intercept,-9.548174909875444,0.4411140425641578,7.133133044522192e-05,3.0046678567212904e-05,0.00016934180234608927
elapsed:181-365,-0.41790459650891504,0.3727983777671924,0.658425041476062,0.3170837270057708,1.3672210155233349
elapsed:366-730,-0.06029491760339896,0.3187195178529689,0.941486831596653,0.5040977039801189,1.7583842320076566
elapsed:731-1460,0.20409469027524246,0.3169520427085257,1.226414277463711,0.6589343873259675,2.2826126681149796
elapsed:>1460,0.6279908770723612,0.376731679890285,1.8738420158216484,0.895472993890264,3.921149966794901
calendar:2012-2018,-13.118091917185923,364.2682280806138,2.0085611918151007e-06,1.70415677e-316,2.367339736444992e+304
calendar:2019-2021,0.31746379996069596,0.3152144711952757,1.373639518160755,0.7405541189706321,2.547937385691239
calendar:2022-2023,0.09090470484028143,0.26552052933341524,1.0951646363966772,0.6508243214908707,1.842871480381039
event_number:2,0.8860661051879161,0.29455720002653657,2.425568925163139,1.3617001007487985,4.320617004788201
event_number:3+,1.4266797488299696,0.3196232599727769,4.164847868702947,2.2260265038709046,7.792341079172269
org_size_score,0.5906415397193239,0.18642216507357087,1.805146116935588,1.2526409670355196,2.6013459476734746
org_size_unknown,0.5515416111162466,0.40713323592877143,1.735927080639865,0.7815786211480553,3.8555850272265886
sector_proxy:education,1.2729083136397372,0.4239077838665442,3.571223712400099,1.5558920663655924,8.196994560040379
sector_proxy:finance,0.9320936906129388,0.43258847722721816,2.539821214631996,1.0878684979211561,5.92966136497342
sector_proxy:health,-0.3040676241608751,0.6155577746058286,0.7378109709157457,0.2207861126004983,2.4655764005802188
sector_proxy:sparse_or_no_repeat,-2.4784162793952156,0.7824594238342724,0.08387595654070379,0.01809649962837272,0.38875894399974925
sector_proxy:technology,-0.4472686919271597,0.4611683176634193,0.6393720910735644,0.2589400802207053,1.5787307646438826
sector_proxy:telecom_transport,0.7476127954785159,0.55179948659306,2.1119523319260107,0.7161152235350472,6.228526507661127
entity_kind_group:government_body,1.0406244347578049,0.40137432823465224,2.830984227489925,1.289082534039212,6.217190509271874
entity_kind_group:sparse_or_no_repeat,-1.0790968993897747,1.0582192010944766,0.3399023530985554,0.04271494014964658,2.70475878550168
prior_records_band:100k+,0.1922849022350616,0.3336884304632679,1.2120157737832264,0.6301833807019709,2.331039314719838
prior_records_band:10k-100k,0.28263252358775975,0.300010186679923,1.3266175715680717,0.7368378369306835,2.3884687959621274
prior_records_band:1k-10k,-0.26922966293639394,0.37158576596639836,0.763967780415131,0.3687863631600333,1.5826148356227339
prior_records_band:sparse_or_no_repeat,-1.7977934220512855,1.0268138607167752,0.16566403581844275,0.022140459689743135,1.239566528800138
