comparison,missing_terms,log_rate_ratio,std_error,rate_ratio,ci_low,ci_high,z,p_two_sided,directional_alternative,p_directional
response vs immediate,,-0.20840047041332446,0.28560658859111354,0.8118818369450307,0.4638521665699958,1.421039211771733,-0.7296766907281659,0.4655878322721966,less,0.2327939161360983
long-term vs response,,0.5255345004676908,0.2533416852715387,1.6913626409414186,1.0294089445973273,2.778980693908143,2.074409901806756,0.03804125849571633,greater,0.019020629247858165
long-term vs immediate,,0.31713403005436636,0.29299986489372554,1.3731866078677173,0.7732555382525512,2.4385747876937716,1.0823692023523444,0.27908850738936464,,
